trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
45,-1,960,3,2,2,350
45,-1,960,3,2,0,80
45,-1,960,3,2,1,50
46,-1,1260,3,1,0,230
46,-1,1260,3,1,1,150
46,-1,1260,3,1,0,70
46,-1,1260,3,1,2,500
46,-1,1260,3,1,0,80
46,-1,1260,3,1,1,230
47,1,790,3,4,0,210
47,1,790,3,4,1,350
47,1,790,3,4,0,70
47,1,790,3,4,2,160
48,-1,450,3,1,0,100
48,-1,450,3,1,2,200
48,-1,450,3,1,0,70
48,-1,450,3,1,1,80
49,1,930,3,5,0,210
49,1,930,3,5,1,360
49,1,930,3,5,0,70
49,1,930,3,5,2,290
50,1,310,3,2,0,240
50,1,310,3,2,2,70
51,1,1260,3,5,0,220
51,1,1260,3,5,1,230
51,1,1260,3,5,0,70
51,1,1260,3,5,2,740
52,-1,1030,3,0,0,480
52,-1,1030,3,0,1,250
52,-1,1030,3,0,0,70
52,-1,1030,3,0,2,230
53,1,720,3,3,0,60
53,1,720,3,3,1,240
53,1,720,3,3,0,70
53,1,720,3,3,2,320
53,1,720,3,3,0,30
54,-1,2740,3,1,0,250
54,-1,2740,3,1,1,270
54,-1,2740,3,1,0,70
54,-1,2740,3,1,2,2150
55,1,1390,3,4,0,280
55,1,1390,3,4,2,260
55,1,1390,3,4,0,70
55,1,1390,3,4,1,320
55,1,1390,3,4,0,80
55,1,1390,3,4,2,380
56,1,1370,3,6,0,230
56,1,1370,3,6,1,380
56,1,1370,3,6,0,70
56,1,1370,3,6,2,610
56,1,1370,3,6,0,80
57,1,730,3,5,0,190
57,1,730,3,5,1,160
57,1,730,3,5,0,70
57,1,730,3,5,2,310
58,1,1230,3,4,0,190
58,1,1230,3,4,1,180
58,1,1230,3,4,0,70
58,1,1230,3,4,2,350
58,1,1230,3,4,0,80
58,1,1230,3,4,1,360
59,-1,440,3,6,0,200
59,-1,440,3,6,1,240
60,-1,2350,3,3,0,260
60,-1,2350,3,3,1,210
60,-1,2350,3,3,0,70
60,-1,2350,3,3,2,800
60,-1,2350,3,3,0,80
60,-1,2350,3,3,1,910
60,-1,2350,3,3,0,20
61,1,810,3,6,0,250
61,1,810,3,6,1,340
61,1,810,3,6,0,70
61,1,810,3,6,2,150
62,-1,1770,3,2,0,220
62,-1,1770,3,2,2,490
62,-1,1770,3,2,0,70
62,-1,1770,3,2,1,640
62,-1,1770,3,2,0,80
62,-1,1770,3,2,2,270
63,-1,1550,3,4,0,210
63,-1,1550,3,4,1,160
63,-1,1550,3,4,0,70
63,-1,1550,3,4,2,190
63,-1,1550,3,4,0,80
63,-1,1550,3,4,1,840
64,-1,770,3,5,0,220
64,-1,770,3,5,2,220
64,-1,770,3,5,0,70
64,-1,770,3,5,1,260
65,-1,1040,3,0,0,270
65,-1,1040,3,0,1,330
65,-1,1040,3,0,0,70
65,-1,1040,3,0,2,370
66,1,1520,3,5,0,210
66,1,1520,3,5,1,150
66,1,1520,3,5,0,70
66,1,1520,3,5,2,410
66,1,1520,3,5,0,80
66,1,1520,3,5,1,600
67,-1,730,3,4,0,230
67,-1,730,3,4,2,190
67,-1,730,3,4,0,70
67,-1,730,3,4,1,240
68,-1,2250,3,3,0,180
68,-1,2250,3,3,1,270
68,-1,2250,3,3,0,70
68,-1,2250,3,3,2,370
68,-1,2250,3,3,0,80
68,-1,2250,3,3,1,340
68,-1,2250,3,3,0,50
68,-1,2250,3,3,2,890
69,1,740,3,6,0,200
69,1,740,3,6,1,540
70,-1,1060,3,1,0,210
70,-1,1060,3,1,1,220
70,-1,1060,3,1,0,70
70,-1,1060,3,1,2,550
70,-1,1060,3,1,0,10
71,1,780,3,5,0,300
71,1,780,3,5,1,320
71,1,780,3,5,0,70
71,1,780,3,5,2,90
72,1,830,3,2,0,210
72,1,830,3,2,1,290
72,1,830,3,2,0,70
72,1,830,3,2,2,260
73,1,4480,3,3,0,250
73,1,4480,3,3,2,350
73,1,4480,3,3,0,70
73,1,4480,3,3,1,310
73,1,4480,3,3,0,80
73,1,4480,3,3,2,250
73,1,4480,3,3,0,50
73,1,4480,3,3,1,2140
73,1,4480,3,3,0,70
73,1,4480,3,3,2,910
74,-1,1600,3,4,0,220
74,-1,1600,3,4,1,210
74,-1,1600,3,4,0,70
74,-1,1600,3,4,2,390
74,-1,1600,3,4,0,80
74,-1,1600,3,4,1,630
75,-1,1280,3,1,0,200
75,-1,1280,3,1,1,320
75,-1,1280,3,1,0,70
75,-1,1280,3,1,2,350
75,-1,1280,3,1,0,80
75,-1,1280,3,1,1,260
76,1,1040,3,4,0,220
76,1,1040,3,4,1,320
76,1,1040,3,4,0,70
76,1,1040,3,4,2,430
77,1,800,3,5,0,180
77,1,800,3,5,1,190
77,1,800,3,5,0,70
77,1,800,3,5,2,360
78,1,600,3,4,0,190
78,1,600,3,4,2,410
79,-1,770,3,0,0,280
79,-1,770,3,0,2,330
79,-1,770,3,0,0,70
