parcode,trial,fixItem,fixTime,encF,compE
0,275,1,236,0,1
0,275,2,362,0,1
0,278,1,314,0,1
0,278,2,438,0,1
0,278,1,402,0,1
0,281,1,424,1,1
0,281,2,246,1,1
0,284,2,576,1,1
0,284,1,286,1,1
0,287,1,210,1,1
0,287,2,444,1,1
0,289,1,232,1,1
0,289,2,550,1,1
0,289,1,504,1,1
0,289,2,92,1,1
0,291,1,190,1,1
0,291,2,288,1,1
0,292,1,236,1,1
0,292,2,560,1,1
0,292,1,782,1,1
0,293,1,230,1,1
0,293,2,424,1,1
0,293,1,236,1,1
0,294,1,254,1,1
0,294,2,474,1,1
0,298,1,216,1,1
0,298,2,342,1,1
0,298,1,34,1,1
0,300,1,234,1,1
0,300,2,390,1,1
0,300,1,160,1,1
0,310,1,344,0,1
0,310,2,524,0,1
0,310,1,846,0,1
0,316,1,304,0,1
0,316,2,276,0,1
0,316,1,90,0,1
0,320,1,206,0,1
0,320,2,484,0,1
0,324,1,230,0,1
0,324,2,378,0,1
0,325,1,312,0,1
0,325,2,612,0,1
0,326,2,392,0,1
0,326,1,136,0,1
0,327,1,300,0,1
0,327,2,422,0,1
0,327,1,774,0,1
0,329,1,370,0,1
0,329,2,698,0,1
0,335,1,228,0,1
0,335,2,596,0,1
0,338,1,300,0,1
0,338,2,896,0,1
0,338,1,984,0,1
0,340,1,384,0,1
0,340,2,500,0,1
0,340,1,278,0,1
0,345,1,238,0,1
0,345,2,524,0,1
0,345,1,432,0,1
0,345,2,194,0,1
0,346,1,206,0,1
0,346,2,546,0,1
0,349,1,218,0,1
0,349,2,532,0,1
0,349,1,540,0,1
0,351,1,372,0,1
0,351,2,256,0,1
0,352,1,330,0,1
0,352,2,466,0,1
0,352,1,470,0,1
0,357,1,428,0,1
0,357,2,288,0,1
0,358,1,194,0,1
0,358,2,492,0,1
0,358,1,400,0,1
0,362,1,256,0,1
0,362,2,752,0,1
0,364,1,450,0,1
0,364,2,296,0,1
0,364,1,108,0,1
0,376,1,346,0,1
0,376,2,454,0,1
0,376,1,206,0,1
0,377,2,210,0,1
0,377,1,356,0,1
0,379,1,218,0,1
