parcode,trial,fixItem,fixTime,encF,compE
0,261,2,660,0,0
0,262,1,300,0,0
0,262,2,348,0,0
0,264,1,292,0,0
0,264,2,382,0,0
0,266,1,220,0,0
0,266,2,400,0,0
0,266,1,222,0,0
0,267,1,476,0,0
0,267,2,804,0,0
0,267,1,514,0,0
0,273,1,258,0,0
0,273,2,598,0,0
0,274,1,294,0,0
0,274,2,386,0,0
0,276,1,248,0,0
0,276,2,474,0,0
0,276,1,98,0,0
0,277,1,302,0,0
0,277,2,502,0,0
0,277,1,890,0,0
0,277,2,242,0,0
0,279,1,220,0,0
0,279,2,652,0,0
0,280,1,268,0,0
0,280,2,352,0,0
0,280,1,82,0,0
0,282,1,250,1,0
0,282,2,872,1,0
0,283,1,252,1,0
0,283,2,592,1,0
0,285,1,264,1,0
0,285,2,352,1,0
0,286,2,354,1,0
0,286,1,362,1,0
0,288,1,230,1,0
0,288,2,636,1,0
0,288,1,210,1,0
0,290,1,188,1,0
0,290,2,382,1,0
0,295,1,310,1,0
0,295,2,734,1,0
0,296,1,194,1,0
0,296,2,448,1,0
0,296,1,388,1,0
0,297,1,244,1,0
0,297,2,522,1,0
0,299,1,220,1,0
0,299,2,744,1,0
0,301,1,340,1,0
0,301,2,546,1,0
0,301,1,84,1,0
0,302,1,290,1,0
0,302,2,636,1,0
0,303,1,360,1,0
0,303,2,590,1,0
0,304,1,278,1,0
0,304,2,390,1,0
0,305,1,278,1,0
0,305,2,714,1,0
0,306,1,192,1,0
0,306,2,438,1,0
0,306,1,380,1,0
0,307,1,222,1,0
0,307,2,410,1,0
0,307,1,198,1,0
0,308,1,380,1,0
0,308,2,442,1,0
0,308,1,30,1,0
0,309,2,522,0,0
0,309,1,384,0,0
0,309,2,68,0,0
0,311,1,304,0,0
0,311,2,1010,0,0
0,312,1,248,0,0
0,312,2,456,0,0
0,312,1,378,0,0
0,313,1,304,0,0
0,313,2,562,0,0
0,313,1,766,0,0
0,313,2,832,0,0
0,314,1,222,0,0
0,314,2,418,0,0
0,315,2,348,0,0
0,315,1,454,0,0
0,315,2,570,0,0
0,315,1,300,0,0
0,315,2,34,0,0
0,317,1,334,0,0
0,317,2,318,0,0
0,317,1,118,0,0
0,318,1,346,0,0
0,318,2,538,0,0
0,319,1,264,0,0
0,319,2,456,0,0
0,321,1,238,0,0
0,321,2,392,0,0
0,321,1,200,0,0
0,322,1,274,0,0
0,322,2,360,0,0
0,322,1,160,0,0
0,323,1,232,0,0
0,323,2,534,0,0
0,328,1,248,0,0
0,328,2,446,0,0
0,328,1,94,0,0
0,330,2,318,0,0
0,330,1,586,0,0
0,330,2,756,0,0
0,331,1,242,0,0
0,331,2,486,0,0
0,331,1,844,0,0
0,331,2,422,0,0
0,332,1,296,0,0
0,332,2,478,0,0
0,332,1,198,0,0
0,332,2,244,0,0
0,333,1,324,0,0
0,333,2,1142,0,0
0,333,1,1320,0,0
0,334,1,282,0,0
0,334,2,498,0,0
0,336,2,426,0,0
0,336,1,320,0,0
0,336,2,314,0,0
0,337,1,366,0,0
0,337,2,418,0,0
0,337,1,414,0,0
0,337,2,604,0,0
0,339,1,256,0,0
0,339,2,368,0,0
0,341,1,208,0,0
0,341,2,544,0,0
0,342,1,310,0,0
0,342,2,354,0,0
0,342,1,150,0,0
0,343,1,378,0,0
0,343,2,340,0,0
0,343,1,390,0,0
0,344,1,224,0,0
0,344,2,604,0,0
0,347,1,252,0,0
0,347,2,780,0,0
0,348,1,356,0,0
0,348,2,376,0,0
0,348,1,90,0,0
0,350,1,488,0,0
0,350,2,244,0,0
0,353,1,312,0,0
0,353,2,342,0,0
0,353,1,128,0,0
0,354,1,234,0,0
0,354,2,374,0,0
0,355,1,204,0,0
0,355,2,526,0,0
0,355,1,300,0,0
0,355,2,126,0,0
0,356,1,182,0,0
0,356,2,510,0,0
0,359,1,246,0,0
0,359,2,284,0,0
0,360,1,352,0,0
0,360,2,294,0,0
0,361,1,450,0,0
0,361,2,454,0,0
0,363,1,194,0,0
0,363,2,468,0,0
0,365,1,386,0,0
0,365,2,418,0,0
0,365,1,818,0,0
0,366,1,210,0,0
0,366,2,696,0,0
0,367,1,224,0,0
0,367,2,682,0,0
0,368,2,304,0,0
0,368,1,718,0,0
0,369,1,226,0,0
0,369,2,446,0,0
0,370,2,364,0,0
0,370,1,540,0,0
0,371,1,456,0,0
0,371,2,428,0,0
0,371,1,162,0,0
0,372,1,248,0,0
0,372,2,532,0,0
0,373,2,388,0,0
0,373,1,490,0,0
0,373,2,30,0,0
0,374,1,806,0,0
0,374,2,414,0,0
0,374,1,130,0,0
0,375,1,224,0,0
0,375,2,488,0,0
0,378,1,248,0,0
0,378,2,490,0,0
0,378,1,552,0,0
0,380,1,196,0,0
0,380,2,454,0,0
0,380,1,596,0,0
0,380,2,102,0,0
0,381,2,358,0,0
0,381,1,384,0,0
0,384,1,414,0,0
0,384,2,220,0,0
0,386,2,350,0,0
0,386,1,580,0,0
0,388,2,300,0,0
0,388,1,444,0,0
0,388,2,70,0,0
0,389,1,478,0,0
0,389,2,310,0,0
0,389,1,110,0,0
0,390,1,318,0,0
0,390,2,658,0,0
0,391,1,244,0,0
0,391,2,270,0,0
0,394,1,196,0,0
0,394,2,740,0,0
0,397,1,344,0,0
0,397,2,400,0,0
0,397,1,510,0,0
0,398,1,342,0,0
0,398,2,348,0,0
0,398,1,280,0,0
0,401,2,364,0,0
0,401,1,582,0,0
0,401,2,108,0,0
0,402,1,318,0,0
0,402,2,316,0,0
0,402,1,134,0,0
0,406,1,264,0,0
0,406,2,692,0,0
0,408,2,368,0,0
0,408,1,384,0,0
0,408,2,100,0,0
0,409,1,522,0,0
0,409,2,286,0,0
0,410,1,376,0,0
0,410,2,250,0,0
0,412,1,412,0,0
0,412,2,358,0,0
0,412,1,92,0,0
0,413,1,434,1,0
0,413,2,376,1,0
0,413,1,82,1,0
0,415,1,540,1,0
0,415,2,408,1,0
0,415,1,304,1,0
0,417,1,336,1,0
0,417,2,470,1,0
0,417,1,540,1,0
0,417,2,42,1,0
0,418,1,244,1,0
0,418,2,470,1,0
0,418,1,144,1,0
0,422,1,272,1,0
0,422,2,688,1,0
0,423,1,244,1,0
0,423,2,408,1,0
0,425,1,280,1,0
0,425,2,434,1,0
0,425,1,368,1,0
0,426,1,254,1,0
0,426,2,412,1,0
0,426,1,492,1,0
0,426,2,106,1,0
0,427,1,276,1,0
0,427,2,550,1,0
0,429,1,294,1,0
0,429,2,444,1,0
0,429,1,280,1,0
0,430,2,290,1,0
0,430,1,248,1,0
0,431,1,374,1,0
0,431,2,272,1,0
0,432,1,342,1,0
0,432,2,390,1,0
0,432,1,166,1,0
0,433,1,218,1,0
0,433,2,286,1,0
0,434,1,268,1,0
0,434,2,482,1,0
0,434,1,152,1,0
0,435,1,494,1,0
0,435,2,344,1,0
0,439,1,388,1,0
0,439,2,530,1,0
0,439,1,270,1,0
0,442,2,310,1,0
0,442,1,350,1,0
0,443,2,348,1,0
0,443,1,360,1,0
0,444,2,296,1,0
0,444,1,326,1,0
0,446,1,248,1,0
0,446,2,494,1,0
0,447,1,206,1,0
0,447,2,578,1,0
0,447,1,156,1,0
0,448,2,304,1,0
0,448,1,510,1,0
0,450,2,252,1,0
0,450,1,536,1,0
0,451,1,200,1,0
0,451,2,486,1,0
0,451,1,294,1,0
0,451,2,138,1,0
0,453,1,236,1,0
0,453,2,436,1,0
